ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,resultado,local,eficiencia
2011,8/14/2011,16,Estádio São Januário,Márcio Chagas da Silva,10826.0,,vasco da gama,palmeiras,,,5.0,4.0,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,vitoria,casa,
2011,8/21/2011,18,Estádio São Januário,Marcelo de Lima Henrique,16991.0,,vasco da gama,fluminense,,,4.0,9.0,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,empate,casa,
2011,8/28/2011,19,Estádio Jornalista Mário Filho,Péricles Bassols Pegado Cortez,33206.0,,flamengo,vasco da gama,,,2.0,4.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,empate,fora,
2011,11/19/2011,36,Estádio São Januário,Fabrício Neves Corrêa,19834.0,,vasco da gama,avaí fc,,,2.0,20.0,,,,,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,vitoria,casa,
2011,11/27/2011,37,Estádio Jornalista Mário Filho,Marcelo de Lima Henrique,34132.0,,fluminense,vasco da gama,Abel Braga,Cristóvão Borges,3.0,2.0,22450000.0,15150000.0,27.4,27.2,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,vitoria,fora,
2011,10/13/2011,29,Arena da Baixada,Paulo Henrique de Godoy Bezerra,10813.0,,atlético-pr,vasco da gama,Antônio Lopes,Cristóvão Borges,18.0,2.0,7050000.0,16750000.0,26.0,26.6,2.0,2.0,2.0,0.0,,,,,,,,,,,,,,,empate,fora,
2011,11/6/2011,33,Estádio Urbano Caldeira,André Luiz de Freitas Castro,12305.0,,santos fc,vasco da gama,Muricy Ramalho,Cristóvão Borges,11.0,1.0,74800000.0,15800000.0,25.4,26.8,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,derrota,fora,
2011,10/9/2011,28,Estádio Beira-Rio,Alício Pena Junior,20250.0,,internacional,vasco da gama,Dorival Júnior,Cristóvão Borges,7.0,1.0,19250000.0,13750000.0,28.3,27.2,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,derrota,fora,
2011,8/31/2011,20,Estádio São Januário,Emerson de Almeida Ferreira,5428.0,,vasco da gama,ceará sc,Cristóvão Borges,Vágner Mancini,4.0,13.0,16000000.0,4500000.0,28.0,29.0,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,vitoria,casa,
2011,9/8/2011,22,Estádio São Januário,Jefferson Schmidt,9397.0,,vasco da gama,coritiba fc,Cristóvão Borges,Marcelo Oliveira,3.0,8.0,16550000.0,3900000.0,27.0,27.4,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,vitoria,casa,
2011,9/17/2011,24,Estádio São Januário,Ricardo Marques Ribeiro,19757.0,,vasco da gama,grêmio,Cristóvão Borges,Celso Roth,2.0,9.0,16800000.0,21700000.0,25.7,26.0,4.0,0.0,2.0,0.0,,,,,,,,,,,,,,,vitoria,casa,
2011,10/16/2011,30,Estádio São Januário,Fabrício Neves Corrêa,15269.0,,vasco da gama,atlético-mg,Cristóvão Borges,Cuca,2.0,17.0,16150000.0,8550000.0,25.3,25.2,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,vitoria,casa,
2011,10/30/2011,32,Estádio São Januário,Ricardo Marques Ribeiro,21315.0,,vasco da gama,são paulo,Cristóvão Borges,Emerson Leão,1.0,6.0,12650000.0,28200000.0,27.1,23.8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,empate,casa,
